date_key,date,division_key,division,series_type,cases_actual,cases_forecast,cases_forecast_lower,cases_forecast_upper,forecast_model,forecast_generated_on
20260511,2026-05-11,chattogram,Chattogram,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260512,2026-05-12,chattogram,Chattogram,Forecast,0.0,172.99956959647943,114.41469696520784,231.58444222775103,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260513,2026-05-13,chattogram,Chattogram,Forecast,0.0,174.28485347867317,112.14621240988969,236.42349454745664,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260514,2026-05-14,chattogram,Chattogram,Forecast,0.0,175.57013736086688,110.07025853252176,241.07001618921203,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260515,2026-05-15,chattogram,Chattogram,Forecast,0.0,176.85542124306062,108.15856877381948,245.55227371230177,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260516,2026-05-16,chattogram,Chattogram,Forecast,0.0,178.14070512525433,106.38918282897497,249.89222742153368,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260517,2026-05-17,chattogram,Chattogram,Forecast,0.0,179.42598900744807,104.74463682039764,254.1073411944985,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260518,2026-05-18,chattogram,Chattogram,Forecast,0.0,180.71127288964175,103.21077110327234,258.2117746760112,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260519,2026-05-19,chattogram,Chattogram,Forecast,0.0,181.99655677183551,101.77591610004929,262.2171974436217,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260520,2026-05-20,chattogram,Chattogram,Forecast,0.0,183.2818406540292,100.4303192289846,266.1333620790739,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260521,2026-05-21,chattogram,Chattogram,Forecast,0.0,184.5671245362229,99.165731016577,269.96851805586886,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260522,2026-05-22,chattogram,Chattogram,Forecast,0.0,185.85240841841667,97.97509947150928,273.72971736532406,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260523,2026-05-23,chattogram,Chattogram,Forecast,0.0,187.1376923006104,96.85233999801925,277.4230446032016,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260524,2026-05-24,chattogram,Chattogram,Forecast,0.0,188.4229761828041,95.79215920996408,281.05379315564414,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260525,2026-05-25,chattogram,Chattogram,Forecast,0.0,189.70826006499783,94.78991797186718,284.6266021581285,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260526,2026-05-26,chattogram,Chattogram,Forecast,0.0,190.99354394719157,93.84152349284706,288.14556440153603,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260527,2026-05-27,chattogram,Chattogram,Forecast,0.0,192.27882782938528,92.9433432782232,291.61431238054735,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260528,2026-05-28,chattogram,Chattogram,Forecast,0.0,193.56411171157905,92.09213575926525,295.0360876638928,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260529,2026-05-29,chattogram,Chattogram,Forecast,0.0,194.84939559377275,91.28499381246692,298.4137973750785,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260530,2026-05-30,chattogram,Chattogram,Forecast,0.0,196.13467947596644,90.5192983566781,301.75006059525475,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260531,2026-05-31,chattogram,Chattogram,Forecast,0.0,197.41996335816015,89.79267991374114,305.0472468025792,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260601,2026-06-01,chattogram,Chattogram,Forecast,0.0,198.70524724035388,89.10298652334994,308.3075079573578,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260602,2026-06-02,chattogram,Chattogram,Forecast,0.0,199.9905311225476,88.44825677362245,311.5328054714728,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260603,2026-06-03,chattogram,Chattogram,Forecast,0.0,201.27581500474133,87.82669698444253,314.7249330250401,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260604,2026-06-04,chattogram,Chattogram,Forecast,0.0,202.56109888693504,87.23666178778214,317.8855359860879,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260605,2026-06-05,chattogram,Chattogram,Forecast,0.0,203.8463827691288,86.67663750658558,321.016128031672,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260606,2026-06-06,chattogram,Chattogram,Forecast,0.0,205.1316666513225,86.14522785453336,324.1181054481117,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260607,2026-06-07,chattogram,Chattogram,Forecast,0.0,206.41695053351623,85.6411415724712,327.19275949456124,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260608,2026-06-08,chattogram,Chattogram,Forecast,0.0,207.70223441570997,85.1631816902721,330.2412871411478,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260609,2026-06-09,chattogram,Chattogram,Forecast,0.0,208.98751829790368,84.7102361603367,333.26480043547065,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260610,2026-06-10,chattogram,Chattogram,Forecast,0.0,210.2728021800974,84.28126965448196,336.2643347057128,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260404,2026-04-04,dhaka,Dhaka,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260405,2026-04-05,dhaka,Dhaka,Actual,490.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260406,2026-04-06,dhaka,Dhaka,Actual,393.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260407,2026-04-07,dhaka,Dhaka,Actual,508.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260408,2026-04-08,dhaka,Dhaka,Actual,507.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260409,2026-04-09,dhaka,Dhaka,Actual,261.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260410,2026-04-10,dhaka,Dhaka,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260411,2026-04-11,dhaka,Dhaka,Actual,268.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260412,2026-04-12,dhaka,Dhaka,Actual,357.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260413,2026-04-13,dhaka,Dhaka,Actual,274.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260414,2026-04-14,dhaka,Dhaka,Actual,290.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260415,2026-04-15,dhaka,Dhaka,Actual,315.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260416,2026-04-16,dhaka,Dhaka,Actual,358.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260417,2026-04-17,dhaka,Dhaka,Actual,357.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260418,2026-04-18,dhaka,Dhaka,Actual,330.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260419,2026-04-19,dhaka,Dhaka,Actual,361.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260420,2026-04-20,dhaka,Dhaka,Actual,382.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260421,2026-04-21,dhaka,Dhaka,Actual,445.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260422,2026-04-22,dhaka,Dhaka,Actual,406.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260423,2026-04-23,dhaka,Dhaka,Actual,355.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260424,2026-04-24,dhaka,Dhaka,Actual,363.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260425,2026-04-25,dhaka,Dhaka,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260426,2026-04-26,dhaka,Dhaka,Actual,404.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260427,2026-04-27,dhaka,Dhaka,Actual,465.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260428,2026-04-28,dhaka,Dhaka,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260429,2026-04-29,dhaka,Dhaka,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260430,2026-04-30,dhaka,Dhaka,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260501,2026-05-01,dhaka,Dhaka,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260502,2026-05-02,dhaka,Dhaka,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260503,2026-05-03,dhaka,Dhaka,Actual,419.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260504,2026-05-04,dhaka,Dhaka,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260505,2026-05-05,dhaka,Dhaka,Actual,417.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260506,2026-05-06,dhaka,Dhaka,Actual,450.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260507,2026-05-07,dhaka,Dhaka,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260508,2026-05-08,dhaka,Dhaka,Actual,451.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260509,2026-05-09,dhaka,Dhaka,Actual,353.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260510,2026-05-10,dhaka,Dhaka,Actual,3.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260511,2026-05-11,dhaka,Dhaka,Actual,3.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260512,2026-05-12,dhaka,Dhaka,Forecast,0.0,296.9636491849929,17.36220848271347,576.5650898872723,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260513,2026-05-13,dhaka,Dhaka,Forecast,0.0,294.4987269414144,0.0,591.0608390665795,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260514,2026-05-14,dhaka,Dhaka,Forecast,0.0,292.0338046978358,0.0,604.6377187064224,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260515,2026-05-15,dhaka,Dhaka,Forecast,0.0,289.5688824542573,0.0,617.4306334390842,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260516,2026-05-16,dhaka,Dhaka,Forecast,0.0,287.10396021067874,0.0,629.544390744495,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260517,2026-05-17,dhaka,Dhaka,Forecast,0.0,284.6390379671002,0.0,641.0623385094948,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260518,2026-05-18,dhaka,Dhaka,Forecast,0.0,282.1741157235216,0.0,652.0520548803238,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260519,2026-05-19,dhaka,Dhaka,Forecast,0.0,279.70919347994305,0.0,662.5692339388969,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260520,2026-05-20,dhaka,Dhaka,Forecast,0.0,277.2442712363645,0.0,672.6604207365848,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260521,2026-05-21,dhaka,Dhaka,Forecast,0.0,274.779348992786,0.0,682.364986608894,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260522,2026-05-22,dhaka,Dhaka,Forecast,0.0,272.3144267492074,0.0,691.7165878026265,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260523,2026-05-23,dhaka,Dhaka,Forecast,0.0,269.8495045056289,0.0,700.7442635844867,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260524,2026-05-24,dhaka,Dhaka,Forecast,0.0,267.38458226205034,0.0,709.4732771039064,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260525,2026-05-25,dhaka,Dhaka,Forecast,0.0,264.9196600184718,0.0,717.9257690416554,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260526,2026-05-26,dhaka,Dhaka,Forecast,0.0,262.45473777489326,0.0,726.1212726010259,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260527,2026-05-27,dhaka,Dhaka,Forecast,0.0,259.9898155313147,0.0,734.0771241813376,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260528,2026-05-28,dhaka,Dhaka,Forecast,0.0,257.5248932877362,0.0,741.8087944535408,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260529,2026-05-29,dhaka,Dhaka,Forecast,0.0,255.0599710441576,0.0,749.330157919433,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260530,2026-05-30,dhaka,Dhaka,Forecast,0.0,252.59504880057904,0.0,756.6537143734154,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260531,2026-05-31,dhaka,Dhaka,Forecast,0.0,250.1301265570005,0.0,763.7907723577249,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260601,2026-06-01,dhaka,Dhaka,Forecast,0.0,247.66520431342195,0.0,770.751602291582,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260602,2026-06-02,dhaka,Dhaka,Forecast,0.0,245.2002820698434,0.0,777.5455651851488,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260603,2026-06-03,dhaka,Dhaka,Forecast,0.0,242.73535982626487,0.0,784.1812215340292,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260604,2026-06-04,dhaka,Dhaka,Forecast,0.0,240.27043758268636,0.0,790.666424001385,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260605,2026-06-05,dhaka,Dhaka,Forecast,0.0,237.80551533910776,0.0,797.0083967436667,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260606,2026-06-06,dhaka,Dhaka,Forecast,0.0,235.34059309552924,0.0,803.2138036597448,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260607,2026-06-07,dhaka,Dhaka,Forecast,0.0,232.8756708519507,0.0,809.2888073971362,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260608,2026-06-08,dhaka,Dhaka,Forecast,0.0,230.41074860837213,0.0,815.2391206007094,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260609,2026-06-09,dhaka,Dhaka,Forecast,0.0,227.9458263647936,0.0,821.070050615124,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260610,2026-06-10,dhaka,Dhaka,Forecast,0.0,225.48090412121505,0.0,826.7865386348998,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260404,2026-04-04,khulna,Khulna,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260405,2026-04-05,khulna,Khulna,Actual,52.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260406,2026-04-06,khulna,Khulna,Actual,84.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260407,2026-04-07,khulna,Khulna,Actual,57.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260408,2026-04-08,khulna,Khulna,Actual,118.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260409,2026-04-09,khulna,Khulna,Actual,59.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260410,2026-04-10,khulna,Khulna,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260411,2026-04-11,khulna,Khulna,Actual,48.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260412,2026-04-12,khulna,Khulna,Actual,90.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260413,2026-04-13,khulna,Khulna,Actual,118.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260414,2026-04-14,khulna,Khulna,Actual,76.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260415,2026-04-15,khulna,Khulna,Actual,68.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260416,2026-04-16,khulna,Khulna,Actual,97.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260417,2026-04-17,khulna,Khulna,Actual,73.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260418,2026-04-18,khulna,Khulna,Actual,44.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260419,2026-04-19,khulna,Khulna,Actual,71.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260420,2026-04-20,khulna,Khulna,Actual,88.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260421,2026-04-21,khulna,Khulna,Actual,69.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260422,2026-04-22,khulna,Khulna,Actual,67.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260423,2026-04-23,khulna,Khulna,Actual,72.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260424,2026-04-24,khulna,Khulna,Actual,85.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260425,2026-04-25,khulna,Khulna,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260426,2026-04-26,khulna,Khulna,Actual,95.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260427,2026-04-27,khulna,Khulna,Actual,73.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260428,2026-04-28,khulna,Khulna,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260429,2026-04-29,khulna,Khulna,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260430,2026-04-30,khulna,Khulna,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260501,2026-05-01,khulna,Khulna,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260502,2026-05-02,khulna,Khulna,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260503,2026-05-03,khulna,Khulna,Actual,79.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260504,2026-05-04,khulna,Khulna,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260505,2026-05-05,khulna,Khulna,Actual,115.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260506,2026-05-06,khulna,Khulna,Actual,98.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260507,2026-05-07,khulna,Khulna,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260508,2026-05-08,khulna,Khulna,Actual,62.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260509,2026-05-09,khulna,Khulna,Actual,61.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260510,2026-05-10,khulna,Khulna,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260511,2026-05-11,khulna,Khulna,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260512,2026-05-12,khulna,Khulna,Forecast,0.0,75.8832570728878,36.82036523246947,114.94614891330612,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260513,2026-05-13,khulna,Khulna,Forecast,0.0,75.7665141457756,34.33406057610092,117.1989677154503,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260514,2026-05-14,khulna,Khulna,Forecast,0.0,75.6497712186634,31.97613044221478,119.32341199511202,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260515,2026-05-15,khulna,Khulna,Forecast,0.0,75.5330282915512,29.72772741340717,121.33832916969524,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260516,2026-05-16,khulna,Khulna,Forecast,0.0,75.416285364439,27.574208921162302,123.25836180771572,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260517,2026-05-17,khulna,Khulna,Forecast,0.0,75.29954243732679,25.50393049941244,125.09515437524117,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260518,2026-05-18,khulna,Khulna,Forecast,0.0,75.1827995102146,23.507450859834044,126.85814816059514,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260519,2026-05-19,khulna,Khulna,Forecast,0.0,75.0660565831024,21.576989027148365,128.55512413905643,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260520,2026-05-20,khulna,Khulna,Forecast,0.0,74.9493136559902,19.706042229757287,130.1925850822231,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260521,2026-05-21,khulna,Khulna,Forecast,0.0,74.832570728878,17.889109930121926,131.77603152763407,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260522,2026-05-22,khulna,Khulna,Forecast,0.0,74.7158278017658,16.121490041138316,133.31016556239328,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260523,2026-05-23,khulna,Khulna,Forecast,0.0,74.5990848746536,14.399125510269272,134.79904423903793,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260524,2026-05-24,khulna,Khulna,Forecast,0.0,74.4823419475414,12.718486843277129,136.24619705180567,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260525,2026-05-25,khulna,Khulna,Forecast,0.0,74.3655990204292,11.076480783503364,137.65471725735503,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260526,2026-05-26,khulna,Khulna,Forecast,0.0,74.248856093317,9.47037836286546,139.02733382376854,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260527,2026-05-27,khulna,Khulna,Forecast,0.0,74.13211316620479,7.897757526992635,140.36646880541696,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260528,2026-05-28,khulna,Khulna,Forecast,0.0,74.01537023909259,6.35645688092032,141.67428359726486,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
20260529,2026-05-29,khulna,Khulna,Forecast,0.0,73.89862731198039,4.844538029189252,142.95271659477152,Damped linear trend over last 21 valid observations; uncertainty from residual spread,2026-05-16
