comment_id,author_handle,comment,category,category_key,classification_confidence
50,@badboyrishad3651,"কত বাবা মা এর কোল খালি হয়ে যাচ্ছে এই হাম এ, মোবাইল এ শুধু দেখেই যাচ্ছি, তাদের জন্য কিছুই করতে পারছি না, জানি না সরকার এর উদ্যোগ নিতে নিতে আর কত শিশু মৃত্যুর মুখে হেলিয়ে পড়বে। আল্লাহ আপনি হেফাজত করুন 😢😢",reporting hospital admission or death,reporting_hospital_admission_or_death,72.68
51,@jabedkhan2457,আমার বাচ্চার হাম আলহামদুলিল্লাহ আগের থেকে ভালো আছে কিন্তু আজকে হঠাৎ চোখ মুখ ফুলে গেছে করনীয় কী?,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,30.79
52,@MdAraf-b9v,হে আল্লাহ তুমি আমার ভাগ্নে সহ সব বাচ্চাকে তুমি সুস্থ রেখো,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,53.63
53,@EasminAkter-p8x9h,আমার বাচ্চার বয়স ৬ বছর ওর কি হাম হওয়ার সম্বববোনা আছে ওর ঠান্ডা লাগসে আবার শরীরের লাল লাল দাগ দেখা যাচ্ছে,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,34.93
54,@FamilyLover-d9e,আমার বাইরে থাকি এবং প্রথম রমজানে দেশে এসেছি... আসার পর থেকে আমার জমজ বাচ্চার প্রথমে জ্বর তারপরে ঠান্ডা তারপরে চোখে ময়লা এবং চোখ লাল তারপরে শরীরে লাল লাল ফুসকুড়ি এবং একজনের বমি😢😢 সব কিছু হাম এর লক্ষণ মনে হচ্ছে.. এখন করণীয় কি ?,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,34.49
55,@MDRuhulamin-em3xt,স্যার আমার বাচ্চার বয়স 9 মাস কিছুদিন আগে ভাইরাল ডায়রিয়া আক্রান্ত হয়েছিল। দুই দিন আগে হামের ভ্যাকসিন দেয় তার দুই দিন পর থেকে বাচ্চার শরীরে অনেক জ্বর মুখে ঘা এবং কোন খাবার খাচ্ছে না আমি এখন কি করবো বলেন স্যার প্লিজ,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,71.43
56,@Kalam-v4o,সার আমার বাবু আট মাস চলে ঠান্ডা জর শরীরে লাল লাল বের হয়ছে কি করমু কই নিয়ে জামু,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,70.67
57,@MdOliollha-y6o,"স্যার, আমার বেবির 2মাস 8দিন এখন তার নিমোনিয়া দেখা দেয় ,তারপর বিশেষজ্ঞ ডাক্তার দেখিয়ে ইঞ্জেকশন দেই,এখন শরিরে লাল ফুসকুড়ি দেখা দেয় ফার্মেসী থেকে অসুধ এনে দিয়েছি কম বুজতেছি শরিরে জর থাকে, এখন একটা মলম এর নাম বলে দিলে ভালো হয় আর এইটা কি হাম?প্লিজ জানাবেন বিস্তারিত",seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,91.11
58,@tuhinafridibd,টিকা দেওয়া পর কি হওয়ার সম্ভবনা আছে?,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,40.77
59,@ANGURABEGUM-d7n,"আমার বাবুর বয়স ১৪ মাস,, আজকে ২ দিন ধরে খুব জ্বর। কিন্তু ঠান্ডা, কাশি, র্্যশ বা  চোখ লাল এসব কিছু নাই কিন্তু আজকে হঠাৎ চোখ অনেক চুলাকাইছে,, এইটা কি ভয়ের কিছু প্লিজ বলবেন।",seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,91.34
60,@ashikurrhuman3064,স্যার  আমার বাচ্চার হামের টিকা নেওয়া আছে এখন যদি কোন হামে আক্রান্ত বাচ্চার  সংস্পর্শে আসে তাহলে আমার বাচ্চার রিক্স আছে কিনা,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,58.45
61,@MonerKothaTube,বাচ্চা ২বছর বয়স. হঠাৎ সারা গায়ে চুলকানি হয়ে লাল লাল হয়ে গেছে।হামের অন্য কোন লক্ষণ নেই আলহামদুলিল্লাহ। হাম কি হঠাৎ করে হয়। নাকি এটা এলার্জি। লাল লাল গুটি গুটি হয়েছে পায়ের দিকে পিঠের দিকে।,religious prayer or general grief,religious_prayer_or_general_grief,44.46
62,@mstmahmuda2791,স্যার আমার বাচ্চার জ্বর হয়েছে সর্দি আছে নাক দিয়ে পানি পড়ছে কাশি আছে কিন্তু রেস নেই পাতলা পায়খানা ছিল এখন ভালো হয়ে গেছে সাথে বমি আছে এটা কি হামের লক্ষণ,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,38.72
63,@MDAnam-s3x,আসসালামু আলাইকুম স্যার আমি একজন প্রবাশি <br>আমার মেয়ের বয়স আজকে ৩৫ দিন <br>আমার মেয়ের ও এই লক্ষ্যন গুলো আছে তার শরীরে <br>এখন এই ক্ষেত্রে আমার করনীয় কী? <br><br>অনুরোধ স্যার একটু জরুরি জানানোর চেষ্টা কইরেন৷,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,89.93
64,@Mahamuda-k1k6q,আমার ছেলের হাত পা ঘামাচির মতো লাল হয়ে গেছে চোখে ময়লা হয়।কিনতু জ্বর বা ঠান্ডা নেই এ কি হামে পিলিজ জানাবেন,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,82.2
65,@AbuSofian-n2w,"স্যার দুই ঘণ্টা না যেতে জ্বর চলে আসে চার ঘন্টা পর পর দিতে পারবো নাপা সিরাপ,বাবুর বয়স ছয় মাস",seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,44.28
66,@সাজিদ-দ৫প,"আমার বাচ্চার টিকা মাএ তিন টা দিচি আর দিতে পারিনি 😢,,টিকা দিতে গেলে বলতো টিকা আসে নাই, তারপর আমি ঢাকায় চলে আসছি আর টিকা দেওয়া হয় নাই 😢","vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,44.87
67,@SABIKUNNAHARKEYA,স্যার আমার ছেলের চোখ থেকে পানি ও পুজ বের হইতাছে ওষুধ খাওয়াইতাছি কমতেছে না এটা কি হামের লক্ষন??,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,71.5
68,@FarzanaAkther-o4m,"স্যার,জন্মের পর সব টিকা নেওয়া থাকলেও কি হাম এর ভ্যাকসিন নিতে হবে",seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,43.5
69,@mdnahiduzzaman7733,আমার বাচ্চার বয়স ৬ মাস ওর কি টিকা দেওয়া যাবে,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,49.71
70,@mabiaafrin-i5i,"স্যার আমার ছেলের আজ তিন দিন ঠান্ডা লেগেছে,, আজ সকালে লক্ষ্য করছি চোয়ালে সাদা রেশ উঠছে কিন্তু জ্বর কাশি কিছু নেই এটা কি হামের লক্ষন","vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,31.39
71,@IkramKhan-g6u6n,আমার বাচ্চাকে হামের টিকা দেয়নি সমস্যা হবে নি?,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,65.51
72,@Mitilakhan-d5u,"সার আমার ছেলের বয়স ৩বছর,জর ছিল তিন দিন আগে,এখন জর নাই,,কাল থেকে শরিরে কিছু জায়গায় রেশ বের হইচে,,সামান্য চুলকানি আছে,,আর কোনো সমস্যা নেই,, এটা কি হাম,,বলেন প্লিজ,,না এলার্জি",seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,86.19
73,@lilihosain6576,চিকিৎসা বলেন,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,49.99
74,@MdThamid-b3f9n,জর চাড়া  হাম হয়ে ঘামাচির মতো,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,41.77
75,@RatnaBegum-q3k,হাম,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,44.09
76,@SultanShaon-r7q,কত বছর বয়সে হামের ঝুঁকি থাকে বেশি,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,28.91
77,@vhjkvcgykh,তুমরা সুনার ডক্টর,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,47.41
78,@SharifHossain-m9y,আল্লাহ সবাইকেই হেফাজতে রাখুন🤲🤲🤲,religious prayer or general grief,religious_prayer_or_general_grief,33.51
79,@AbdulGafur-dx9fm,হামের টিকার অভাবে মারা যাওয়া প্রতিটি শিশুর হত্যার দায় ইউনুছ ও তার সহযোগী উপদেষ্টা পরিষদ বিএনপি জামাত এনসিপি সবাইকে এই দায় নিতে হবে কারন তারা এই ১৮ মাস মিলেমিশে সরকার চালিয়েছিল।,blaming politicians or the government,blaming_politicians_or_the_government,77.84
80,@shahadatsatter7363,দায় ভার ইউনুস গং থেকে বর্তমানে যারা আছে তাদের নিতে হবে। কারণ তখনও তারা ওতোপ্রোতো ভাবে জড়িত ছিলো। এখন ক্রিমিনাল ডা: জোবায়দা রহমান ও অদ্ভুত বিরক্তিকর প্রাণী জাইমা কিছু বলে না। যদিও এদের স্বাস্থ্যমন্ত্রী হাম হলে নাকি আয়ু বাড়ে। আর অন্যান্য মন্ত্রীরা বিভিন্ন বিষয়ে উদ্ভট কথা বলে যাচ্ছেন। আর খাম্বা তো আছেই।,blaming politicians or the government,blaming_politicians_or_the_government,72.44
81,@sadarontv5046,"শিশু মারা যাচ্ছে না, দেশের ভবিষ্যৎ মারা যাচ্ছে। এটা পরিকল্পনা করে করা হয়েছে 😡😡😡😡",reporting hospital admission or death,reporting_hospital_admission_or_death,62.3
82,@hamim4466,সঠিক বিচার চাই,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,33.43
83,@sultanaafrin4308,"আমাদের ভাগ্নীর মেয়েটাও চলে গেল৷ <br>সদর হসপিটালগুলো দেখলে মনে হয়, আরো মৃত্যু ফাদ 😭",reporting hospital admission or death,reporting_hospital_admission_or_death,83.27
84,@adhibaislamlima-5944,"একদিকে শিশু রা মারা যাচ্ছে আরেক দিকে নেতায়,বউ নিয়ে ভাইরাল হওয়া নিয়ে ব্যস্ত।হায় আল্লাহ এই দেশে জন্ম নেওয়াটাই হয়ত ভুল আমাদের কারন প্রতি দিন এখন কোন না কোন খবর আসছে।<br>এই এগুলোর দায় কে নিবে???",blaming politicians or the government,blaming_politicians_or_the_government,57.38
85,@provashroy9751,দেখ কেমন লাগে।,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,32.03
86,@ranavai6220,"ছোট বাচ্ছার স্কুল বন্দ রাখা দরকার,,,,,একজন শিশু স্কুলে নিলে কুলে ছোট বাচ্ছা আর একজন কোলে থাকে,,,,","vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,38.62
87,@MdFerdaus-o2h,পরীক্ষা বাদ করে দেওয়া হক,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,40.61
88,@dalimmohammed7568,এ দ্বায় কার???😢,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,61.18
89,@Mdmithu-w6w,হোমিওপ্যাথি চিকিৎসা নিলে ভালো হয়,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,62.93
90,@SaifulIslam-zd6fg,"হামের টিকা দেয়া নিয়ে যারা সাধারণ মহিলাদের নিরুৎসাহিত করেছে তদন্ত করে অবিলম্বে দোষীদের দৃষ্টান্তমূলক শাস্তির আওতায় আনা হোক। না হলে জনগনের মাঝে ছেড়ে দেয়া হোক। <a href=""https://www.youtube.com/watch?v=DyTERsFRXXw&amp;t=1"">https://www.youtube.com/watch?v=DyTERsFRXXw&amp;t=1s</a>",seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,36.46
91,@FahimArfinShohag,আল্লাহ এই নিষ্পাপ শিশুদের সুস্থতা দিক 🤲 🥺,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,51.09
92,@moushumicookingandvlog9671,হামের টিকা দেওয়ার পরও কি হাম হচ্ছে। আল্লাহ আমাদের এই রোগ থেকে হেফাজত করুক আমিন।,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,74.82
93,@hridoythesuperstar1038,যাদের কারণে এই অবস্থা তাদেরকে বিচারের আওতায় আনতে হবে,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,22.66
94,@mohammadshahedulislam2666,আহা ২৪ এর লাল স্বাধীনতার সুফল আমরা উপভোগ করতেছি।,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,41.54
95,@Ujjilmia-p9p,সরকারের তাড়াতাড়ি উদ্যোগ নিতে হবে।,blaming politicians or the government,blaming_politicians_or_the_government,43.76
96,@mohammadmamunurrashid851,"এই অবস্থার জন্য সুদখোর মহাজন ইউনুস  দায়ী, শিশুদের ঠিকমতো টিকা দিলে আজকে এই পরিস্থিতি দেখতে হতো না, সুদখোর মহাজন এসেছে উনার আখের গোছানোর জন্য",seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,62.34
97,@WajihaRaisa-genZ,"4 - 5 বছরের বাচ্চাদের কি করব, ওরা তো স্কুলে যায়,, বাচ্চাদের সাথে খেলা করে","vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,41.99
98,@ShibDeb-xz5gq,ইসলামে সংগ্রামক রোগ বলে কিছু হতেই পারে না।,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,35.63
99,@FreeThinker_EBengal,আর কত?,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,48.91
